Eload,G,T,Vw
0.792231247,3.448812770146455,9.9,6.4
0.854486111,10.346438310439366,9.5,6.300000000000001
1.083675159,0.0,9.2,6.6000000000000005
1.50275718,0.0,9.3,7.7
1.777478196,0.0,9.5,8.700000000000001
1.728572974,0.0,9.6,8.8
1.600127698,0.0,9.5,8.200000000000001
1.458262622,0.0,9.0,7.4
1.181615917,0.0,8.0,6.9
0.907266931,0.0,6.800000000000001,6.800000000000001
0.651006464,0.0,6.2,6.6000000000000005
0.558920454,0.0,6.0,6.4
0.529665387,0.0,5.800000000000001,6.2
0.523776388,0.0,5.5,6.0
0.526953307,0.0,5.5,6.0
0.584038064,0.0,5.5,5.7
0.773903202,0.0,5.4,5.0
1.050541394,0.0,5.300000000000001,4.2
0.974373543,0.8622031925366137,5.5,4.1000000000000005
0.816670382,19.830673428342116,6.0,4.3
0.81328992,11.20864150297598,6.7,4.5
0.829634338,158.84377736796827,7.2,4.7
0.814788399,177.18159449309152,7.6,4.6000000000000005
0.792035895,113.75406719191213,7.5,4.2
0.792231247,43.24795666456072,7.1000000000000005,3.9
0.854486111,9.48423511790275,6.0,3.4000000000000004
1.083675159,0.0,5.2,3.2
1.50275718,0.0,5.1000000000000005,3.5
1.777478196,0.0,4.9,3.6
1.728572974,0.0,4.7,3.6
1.600127698,0.0,4.4,3.5
1.458262622,0.0,4.3,3.3000000000000003
1.181615917,0.0,4.6000000000000005,3.1
0.906894026,0.0,5.1000000000000005,3.1
0.641301024,0.0,5.5,3.2
0.54288631,0.0,6.0,3.6
0.516718185,0.0,6.2,3.9
0.514854885,0.0,6.2,4.4
0.513895489,0.0,6.300000000000001,4.7
0.567761626,0.0,6.5,4.800000000000001
0.783775688,0.0,6.7,4.4
1.034773867,0.0,6.6000000000000005,3.5
0.953880754,0.8622031925366137,6.5,2.7
0.816670382,15.519657465659044,6.7,2.5
0.81328992,15.519657465659044,6.800000000000001,3.1
0.829634338,48.073063701957985,6.7,3.7
0.814788399,131.54900181883784,6.4,4.1000000000000005
0.792035895,76.94844173076767,5.9,4.0
0.792231247,5.173219155219683,5.4,3.7
0.854486111,7.759828732829522,5.0,3.3000000000000003
1.083675159,0.0,4.800000000000001,3.1
1.50275718,0.0,4.4,2.9000000000000004
1.777478196,0.0,3.8,2.4000000000000004
1.728572974,0.0,3.3000000000000003,2.2
1.600127698,0.0,3.3000000000000003,2.3000000000000003
1.458262622,0.0,3.6,2.6
1.181615917,0.0,3.9,2.9000000000000004
0.906894026,0.0,3.9,3.2
0.64026171,0.0,4.1000000000000005,3.7
0.541733318,0.0,4.1000000000000005,4.0
0.507058075,0.0,4.0,4.5
0.501726872,0.0,3.7,4.9
0.503012278,0.0,3.3000000000000003,5.0
0.554778747,0.0,3.0,5.0
0.747573491,0.0,2.9000000000000004,5.2
1.031670319,0.0,2.9000000000000004,5.4
0.983338,21.6116310557114,3.3000000000000003,5.7
0.834883442,198.61934569138128,4.3,6.2
